"","site_code","location_name","sample_collector","lat","long","gap_num","gap_size","gaps","depth","analyte_avg","analyte_tot","soil_lyrs_n","layer_tops","calc_notes"
"49","RCCZO","Reynolds Creek CZO","Ryan Will",43.08356987,-116.7424206,0,0,NA,30,803.333333333333,3090,4,"0,5,10,20,30,40,50,60,70,80",""
"50","RCCZO","Reynolds Creek CZO","Ryan Will",43.08369672,-116.7423142,0,0,NA,30,825,2850,4,"0,5,10,20,30,40,50,60,70,80",""
"51","RCCZO","Reynolds Creek CZO","Ryan Will",43.08370516,-116.74241,0,0,NA,30,1246.11111111111,4780,4,"0,5,10,20,30,40,50,60,70,80",""
"52","RCCZO","Reynolds Creek CZO","Ryan Will",43.08371526,-116.7423164,0,0,NA,30,810,3190,4,"0,5,10,20,30,40,50,60,70,80",""
"53","RCCZO","Reynolds Creek CZO","Ryan Will",43.08373144,-116.7424237,0,0,NA,30,915,3810,4,"0,5,10,20,30,40,50,60,70,80",""
"54","RCCZO","Reynolds Creek CZO","Ryan Will",43.08383388,-116.7426316,0,0,NA,30,996.666666666667,4000,4,"0,5,10,20,30,40,50,60,70,80",""
"55","RCCZO","Reynolds Creek CZO","Ryan Will",43.08386348,-116.7426614,0,0,NA,30,1593.33333333333,7340,4,"0,5,10,20,30,40,50,60,70,80",""
"56","RCCZO","Reynolds Creek CZO","Ryan Will",43.10206491,-116.8024789,0,0,NA,30,628.333333333333,2390,4,"0,5,10,20,30,40,50,60,70,80",""
"57","RCCZO","Reynolds Creek CZO","Ryan Will",43.10207376,-116.802477,0,0,NA,30,268.333333333333,1120,4,"0,5,10,20,30,40,50,60,70,80",""
"58","RCCZO","Reynolds Creek CZO","Ryan Will",43.10221528,-116.8025476,0,0,NA,30,505,2220,4,"0,5,10,20,30,40,50,60,70,80",""
"59","RCCZO","Reynolds Creek CZO","Ryan Will",43.10223152,-116.8024383,0,0,NA,30,225,1030,4,"0,5,10,20,30,40,50,60,70,80",""
"60","RCCZO","Reynolds Creek CZO","Ryan Will",43.10223935,-116.8024525,0,0,NA,30,328.333333333333,1403.33333333333,4,"0,5,10,20,30,40,50,60,70,80",""
"61","RCCZO","Reynolds Creek CZO","Ryan Will",43.1022805,-116.8023653,0,0,NA,30,1538.33333333333,5760,4,"0,5,10,20,30,40,50,60,70,80",""
"62","RCCZO","Reynolds Creek CZO","Ryan Will",43.1022814,-116.8023787,0,0,NA,30,1248.33333333333,4530,4,"0,5,10,20,30,40,50,60,70,80",""
"63","RCCZO","Reynolds Creek CZO","Ryan Will",43.10230634,-116.7836383,0,0,NA,30,1905,7010,4,"0,5,10,20,30,40,50,60,70,80",""
"64","RCCZO","Reynolds Creek CZO","Ryan Will",43.10231699,-116.7836376,0,0,NA,30,1985,7970,4,"0,5,10,20,30,40,50,60,70,80",""
"65","RCCZO","Reynolds Creek CZO","Ryan Will",43.10239559,-116.8024626,0,0,NA,30,743.333333333333,2760,4,"0,5,10,20,30,40,50,60,70,80",""
"66","RCCZO","Reynolds Creek CZO","Ryan Will",43.10240349,-116.8024529,0,0,NA,30,925,3640,4,"0,5,10,20,30,40,50,60,70,80",""
"67","RCCZO","Reynolds Creek CZO","Ryan Will",43.10246064,-116.784005,0,0,NA,30,1211.66666666667,4670,4,"0,5,10,20,30,40,50,60,70,80",""
"68","RCCZO","Reynolds Creek CZO","Ryan Will",43.10246759,-116.7840001,0,0,NA,30,1298.33333333333,5160,4,"0,5,10,20,30,40,50,60,70,80",""
"69","RCCZO","Reynolds Creek CZO","Ryan Will",43.10251041,-116.7835959,0,0,NA,30,2281.66666666667,8980,4,"0,5,10,20,30,40,50,60,70,80",""
"70","RCCZO","Reynolds Creek CZO","Ryan Will",43.10251433,-116.7835821,0,0,NA,30,2286.66666666667,9220,4,"0,5,10,20,30,40,50,60,70,80",""
"71","RCCZO","Reynolds Creek CZO","Ryan Will",43.10253094,-116.7837718,0,0,NA,30,2336.11111111111,8983.33333333333,4,"0,5,10,20,30,40,50,60,70,80",""
