FID,site_code,location_name,lat,long,gap_num,gap_size,gaps,depth,analyte_avg,soil_lyrs_n,calc_notes
126,RCCZO,Reynolds Creek CZO,43.12416094,-116.78262140,0,0,NA,30,798.3333333,4,
127,RCCZO,Reynolds Creek CZO,43.12421955,-116.78958520,0,0,NA,30,2126.666667,2,trim: cut to 30 cm
128,RCCZO,Reynolds Creek CZO,43.12424390,-116.79168840,0,0,NA,30,3714.852941,2,trim: cut to 30 cm
129,RCCZO,Reynolds Creek CZO,43.12449119,-116.79430800,0,0,NA,30,3323.333333,4,
130,RCCZO,Reynolds Creek CZO,43.12453364,-116.78603490,0,0,NA,30,1155,2,
131,RCCZO,Reynolds Creek CZO,43.12565165,-116.78116450,0,0,NA,30,1470.181818,2,trim: cut to 30 cm
132,RCCZO,Reynolds Creek CZO,43.12568301,-116.78562000,0,0,NA,30,782,3,trim: loess approx to 30 cm
133,RCCZO,Reynolds Creek CZO,43.12580100,-116.78274200,0,0,NA,30,2248.333333,2,
134,RCCZO,Reynolds Creek CZO,43.12611188,-116.78905210,0,0,NA,30,1615,2,trim: cut to 30 cm
135,RCCZO,Reynolds Creek CZO,43.12633701,-116.78806500,0,0,NA,30,1124.545455,2,trim: cut to 30 cm
136,RCCZO,Reynolds Creek CZO,43.12667447,-116.78684720,0,0,NA,30,780,4,
137,RCCZO,Reynolds Creek CZO,43.12749278,-116.78973130,0,0,NA,30,1150,4,
138,RCCZO,Reynolds Creek CZO,43.12752508,-116.79254170,0,0,NA,30,3330,2,trim: cut to 30 cm
139,RCCZO,Reynolds Creek CZO,43.12848567,-116.79663590,0,0,NA,30,2381.090909,3,trim: loess approx to 30 cm
140,RCCZO,Reynolds Creek CZO,43.12863212,-116.79688130,0,0,NA,30,8014,2,trim: cut to 30 cm
141,RCCZO,Reynolds Creek CZO,43.12875942,-116.79294450,0,0,NA,30,4154.2,2,trim: cut to 30 cm
142,RCCZO,Reynolds Creek CZO,43.12971095,-116.79349630,0,0,NA,30,1820,4,
143,RCCZO,Reynolds Creek CZO,43.13058584,-116.79855330,0,0,NA,30,1283.333333,4,
144,RCCZO,Reynolds Creek CZO,43.13104556,-116.79606520,0,0,NA,30,3569.52381,2,trim: cut to 30 cm
145,RCCZO,Reynolds Creek CZO,43.13301998,-116.79205310,0,0,NA,30,1783.333333,4,
146,RCCZO,Reynolds Creek CZO,43.14366477,-116.76885020,0,0,NA,30,1021.666667,4,
147,RCCZO,Reynolds Creek CZO,43.14366666,-116.76883790,0,0,NA,30,710,4,
148,RCCZO,Reynolds Creek CZO,43.14367186,-116.76914770,0,0,NA,30,621.6666667,4,
149,RCCZO,Reynolds Creek CZO,43.14368038,-116.76913580,0,0,NA,30,478.3333333,4,
150,RCCZO,Reynolds Creek CZO,43.14376393,-116.76902690,0,0,NA,30,1186.666667,4,
151,RCCZO,Reynolds Creek CZO,43.14376560,-116.73558180,0,0,NA,30,1033.333333,4,
152,RCCZO,Reynolds Creek CZO,43.14376704,-116.73558650,0,0,NA,30,995,4,
153,RCCZO,Reynolds Creek CZO,43.14377305,-116.76904190,0,0,NA,30,1247.222222,4,
154,RCCZO,Reynolds Creek CZO,43.14384120,-116.76921950,0,0,NA,30,1230,4,
155,RCCZO,Reynolds Creek CZO,43.14384824,-116.76901750,0,0,NA,30,1300,4,
156,RCCZO,Reynolds Creek CZO,43.14384907,-116.76902380,0,0,NA,30,1503.333333,4,
157,RCCZO,Reynolds Creek CZO,43.14385002,-116.76922840,0,0,NA,30,725,4,
158,RCCZO,Reynolds Creek CZO,43.14386556,-116.73558440,0,0,NA,30,863.8888889,4,
159,RCCZO,Reynolds Creek CZO,43.14387359,-116.73556480,0,0,NA,30,1150,4,
160,RCCZO,Reynolds Creek CZO,43.14391374,-116.73573410,0,0,NA,30,1030,4,
161,RCCZO,Reynolds Creek CZO,43.14391632,-116.73573260,0,0,NA,30,855,4,
162,RCCZO,Reynolds Creek CZO,43.14393712,-116.73678380,0,0,NA,30,587.3529412,4,trim: loess approx to 30 cm
163,RCCZO,Reynolds Creek CZO,43.14396370,-116.73534850,0,0,NA,30,576.1290323,4,trim: loess approx to 30 cm
164,RCCZO,Reynolds Creek CZO,43.14399787,-116.73546440,0,0,NA,30,580,4,
165,RCCZO,Reynolds Creek CZO,43.14400215,-116.73546800,0,0,NA,30,668.3333333,4,
166,RCCZO,Reynolds Creek CZO,43.14401102,-116.73562720,0,0,NA,30,1040,4,
167,RCCZO,Reynolds Creek CZO,43.14401171,-116.73563340,0,0,NA,30,951.6666667,4,
168,RCCZO,Reynolds Creek CZO,43.14459543,-116.73561000,0,0,NA,30,928.3333333,4,
169,RCCZO,Reynolds Creek CZO,43.15039775,-116.70935070,0,0,NA,30,461.6666667,4,
170,RCCZO,Reynolds Creek CZO,43.15039909,-116.70935460,0,0,NA,30,523.3333333,4,
171,RCCZO,Reynolds Creek CZO,43.15047123,-116.70936990,0,0,NA,30,565,4,
172,RCCZO,Reynolds Creek CZO,43.15048820,-116.70939240,0,0,NA,30,397.7777778,4,
173,RCCZO,Reynolds Creek CZO,43.15050364,-116.70954120,0,0,NA,30,456.6666667,4,
174,RCCZO,Reynolds Creek CZO,43.15051267,-116.70954580,0,0,NA,30,498.3333333,4,
175,RCCZO,Reynolds Creek CZO,43.15060119,-116.70918280,0,0,NA,30,720,4,
176,RCCZO,Reynolds Creek CZO,43.15060307,-116.70917910,0,0,NA,30,528.3333333,4,
177,RCCZO,Reynolds Creek CZO,43.15063284,-116.70937990,0,0,NA,30,580,4,
178,RCCZO,Reynolds Creek CZO,43.15063892,-116.70936350,0,0,NA,30,580,4,
179,RCCZO,Reynolds Creek CZO,43.15722146,-116.70847550,0,0,NA,30,520,4,
180,RCCZO,Reynolds Creek CZO,43.15722277,-116.70846930,0,0,NA,30,573.3333333,4,
181,RCCZO,Reynolds Creek CZO,43.15738357,-116.70859740,0,0,NA,30,751.6666667,4,
182,RCCZO,Reynolds Creek CZO,43.15738372,-116.70860390,0,0,NA,30,685,4,
183,RCCZO,Reynolds Creek CZO,43.15739053,-116.70846980,0,0,NA,30,525,4,
184,RCCZO,Reynolds Creek CZO,43.15739444,-116.70842950,0,0,NA,30,725,4,
185,RCCZO,Reynolds Creek CZO,43.15745769,-116.70845510,0,0,NA,30,650,4,
186,RCCZO,Reynolds Creek CZO,43.15745879,-116.70846560,0,0,NA,30,763.3333333,4,
187,RCCZO,Reynolds Creek CZO,43.15747899,-116.70826080,0,0,NA,30,620,4,
188,RCCZO,Reynolds Creek CZO,43.15749536,-116.70826690,0,0,NA,30,715,4,
189,RCCZO,Reynolds Creek CZO,43.16728983,-116.71329860,0,0,NA,30,893.3333333,4,
190,RCCZO,Reynolds Creek CZO,43.16729437,-116.71331080,0,0,NA,30,805,4,
191,RCCZO,Reynolds Creek CZO,43.16744804,-116.71285610,0,0,NA,30,1180,4,
192,RCCZO,Reynolds Creek CZO,43.16745930,-116.71316450,0,0,NA,30,633.3333333,4,
193,RCCZO,Reynolds Creek CZO,43.16746019,-116.71286320,0,0,NA,30,730,4,
194,RCCZO,Reynolds Creek CZO,43.16746901,-116.71315760,0,0,NA,30,661.6666667,4,
195,RCCZO,Reynolds Creek CZO,43.16750852,-116.71321040,0,0,NA,30,569.4444444,4,
196,RCCZO,Reynolds Creek CZO,43.16752432,-116.71315730,0,0,NA,30,660,4,
197,RCCZO,Reynolds Creek CZO,43.16756326,-116.71335410,0,0,NA,30,626.6666667,4,
198,RCCZO,Reynolds Creek CZO,43.16756614,-116.71334530,0,0,NA,30,766.6666667,4,
199,RCCZO,Reynolds Creek CZO,43.16761023,-116.71305380,0,0,NA,30,571.6666667,4,
200,RCCZO,Reynolds Creek CZO,43.18051979,-116.71387970,0,0,NA,30,578.25,4,trim: loess approx to 30 cm
201,RCCZO,Reynolds Creek CZO,43.18077561,-116.71455750,0,0,NA,30,645.4761905,5,trim: loess approx to 30 cm
202,RCCZO,Reynolds Creek CZO,43.18545590,-116.80352450,0,0,NA,30,686.6666667,4,
203,RCCZO,Reynolds Creek CZO,43.18545916,-116.80351580,0,0,NA,30,598.3333333,4,
204,RCCZO,Reynolds Creek CZO,43.18549726,-116.80372680,0,0,NA,30,908.3333333,4,
205,RCCZO,Reynolds Creek CZO,43.18550477,-116.80373270,0,0,NA,30,861.6666667,4,
206,RCCZO,Reynolds Creek CZO,43.18558883,-116.80365740,0,0,NA,30,791.6666667,4,
207,RCCZO,Reynolds Creek CZO,43.18560506,-116.80364460,0,0,NA,30,486.6666667,4,
208,RCCZO,Reynolds Creek CZO,43.18564245,-116.80352240,0,0,NA,30,588.3333333,4,
209,RCCZO,Reynolds Creek CZO,43.18564682,-116.80352640,0,0,NA,30,506.6666667,4,
210,RCCZO,Reynolds Creek CZO,43.18568906,-116.80386190,0,0,NA,30,578.3333333,4,
211,RCCZO,Reynolds Creek CZO,43.18569350,-116.80387210,0,0,NA,30,628.3333333,4,
212,RCCZO,Reynolds Creek CZO,43.18866189,-116.81306720,0,0,NA,30,1521.666667,4,
213,RCCZO,Reynolds Creek CZO,43.19082860,-116.78144100,0,0,NA,30,791.6666667,4,
