"","Site","lat","long","SOC","CLAY","pGPP","TSOI","lig_N","MIMSOC","MIMMIC","MIMLIT","MIM_CO","LITm","LITs","MICr","MICK","SOMa","SOMc","SOMp","desorb","JITn","DEBUG","run_num","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","RMSE"
"15","S113",43.12231214,-116.779423,8.73,14.3,656.2800293,8.4466105,11.7,5.82075285343515,0.069585110354176,0.94529919478308,0.480869906102854,0.145763275307946,0.799535919475135,0.0225957630337889,0.0469893473203871,0.249446710533264,0.479077520848184,4.07734431691645,9.49928593513514e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"16","S116",43.12292115,-116.782785,6.25,14.3,704.7609863,6.47193,11.7,6.8981847258928,0.0727785142180689,1.44432793494843,0.480878918238483,0.225855666421716,1.21847226852671,0.0236330281680416,0.0491454860500273,0.386508892621736,0.730082401246626,4.26448698285794,9.49928593513514e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"17","S132",43.12568301,-116.78562,2.03,14.3,422.1900024,11.7316999,11.7,4.05286420402575,0.0541668836981261,0.466927128083495,0.480778925299647,0.0703492745047285,0.396577853578766,0.0175868900389342,0.0365799936591919,0.12038732272658,0.237658547733591,3.17372432178395,9.49928593513514e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"18","S133",43.125801,-116.782742,4.33,14.3,340.9970093,12.2889004,11.7,3.64088202094987,0.0488162422032603,0.414322241494438,0.480830400368603,0.0621669981350629,0.352155243359375,0.0158507910677966,0.0329654511354637,0.106390926428587,0.211035174771768,2.86031743605182,9.49928593513514e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"19","S135",43.12633701,-116.788065,2.14,14.3,304.9509888,12.3659,11.7,3.48733351993419,0.0464427872156584,0.407531497618335,0.480787243971403,0.0611174353299937,0.346414062288341,0.0150792085484753,0.0313635786671832,0.104589649025058,0.20759755015257,2.72117203592257,9.49928593513514e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"20","S153",43.14377305,-116.7690419,4.86,24.8181992,174.6260071,11.5256996,11.6999998,3.83322126351805,0.0382055119515887,0.484520494392646,0.526015031471725,0.0694957164119463,0.4150247779807,0.0131693811378952,0.0250361308136935,0.153684519098171,0.249543257617717,2.90726748045793,8.11280471956776e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"21","S167",43.14401171,-116.7356334,3.49,29.3999996,-99.6399994,10.3395004,11.6999998,2.90559557856929,0.020011066078158,0.629263233647086,0.555338523483051,0.0876610720576838,0.541602161589402,0.00714501423412286,0.0128660518440352,0.213601028063415,0.325302919904317,1.71741733087631,7.57396445968875e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"22","S171",43.15047123,-116.7093699,2.01,29.8999996,-128.2120056,11.3430996,11.6999998,2.50603515893063,0.018682818956792,0.490942930122349,0.554777055837104,0.0680956278124586,0.42284730230989,0.00666642156614936,0.0120163973906426,0.167348251609736,0.25427796133836,1.57478319690339,7.51737221244416e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"23","S182",43.15738372,-116.7086039,2.63,29.8999996,11.7912998,10.1876001,11.6999998,3.62222678366928,0.0274567676777886,0.649796950975891,0.557729759339849,0.0904087644947266,0.559388186481165,0.00983062455946973,0.0176261431183189,0.222450362607806,0.336057254325746,2.38646544808204,7.51737221244416e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"24","S196",43.16752432,-116.7131573,2.53,29.7000008,-16.8381004,10.4827003,11.6999998,3.36992291084444,0.0255128864477079,0.611514128262812,0.558821494976946,0.0846710814322574,0.526843046830554,0.00914610774346298,0.0163667787042449,0.207700978464678,0.316269856340955,2.20892506132829,7.53995805539076e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"25","S211",43.1856935,-116.8038721,2.39,14.3000002,214.5110016,10.3808002,11.6999998,3.51604431067847,0.0404840776735108,0.623996930581019,0.480805180375317,0.0949110401335341,0.529085890447485,0.0131448447953209,0.0273392328781899,0.162425200096488,0.317070667275593,2.37206743505186,9.49928590663728e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"26","S220",43.1910335,-116.7813366,3,21.7999992,113.7300034,11.4491997,11.6999998,3.33545058895634,0.0340244508492379,0.496167476089477,0.513507898454729,0.0719083499463302,0.424259126143147,0.0115439267079524,0.0224805241412856,0.148662822233355,0.254480084649212,2.40211575513506,8.48853681292444e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"27","S226",43.19237763,-116.7177152,1.24,22.7588997,-243.0110016,11.4120998,11.6999998,1.438190007958,0.0140618857736906,0.369254823701297,0.522192840107782,0.0530188870559937,0.316235936645303,0.00482397228258858,0.00923791349110206,0.112384439412713,0.189701696524051,0.752787162546243,8.36731576185743e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"28","S240",43.19788121,-116.8123803,6.65,14.3000002,235.2810059,8.8485403,11.6999998,4.02885547686888,0.0418533376833262,0.866956033283334,0.480769113889392,0.133322843621122,0.733633189662211,0.0135887437701035,0.0282645939132226,0.228152432324532,0.43965524171362,2.45223843186407,9.49928590663728e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"29","S252",43.21141852,-116.7356752,2.15,23.2000008,-96.5361023,11.4284,11.6999998,2.39624478933494,0.0201137501007648,0.496336645925443,0.52100838781983,0.0715295548242829,0.42480709110116,0.00688979271707459,0.0132239573836902,0.152892670810466,0.255140537750632,1.47176118474764,8.31213602917034e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
