"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","SOMpTO","improve"
"15",5,14,1,1,1,1,0.118670578487217,2.37711172886193,2.62601282212418,1.43520662041847,0,0.515,2412.25044329864,0,1,NA,0
"16",5,15,1,1,1,1,1.00374952533748,1.02893097952474,1.18583648048807,2.45593316904269,0.79,0.564,2.6553099927611,0.0079105596533015,0.226177373517659,NA,0
"17",6,16,2.91015314904507,1.91548221476842,1.34814752987586,1.091824862418,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,0.99,0.198,4.37196599304984,0.0884651974929501,0.0287678699118855,NA,0
"18",6,17,1,1,1,1,1.34641633306164,0.961051749391481,2.62601282212418,1.43520662041847,1.43,0.785,2.49587734870141,0.00479231057940707,0.337854462405166,NA,0
"19",6,18,1,1,1,1,1.00374952533748,1.02893097952474,2.97423577776644,0.653111097752117,2.24,0.789,1.80194770390616,0.0117256875717024,0.329642533410269,NA,0
"20",7,19,2.81501439865679,0.850037191063166,0.735031155869365,0.484521198906004,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,0.93,0.577,3.09570257262756,0.0369527789991817,0.193103793861542,NA,0
"21",7,20,1,1,1,1,1.3113771433942,1.03465560690966,2.62601282212418,1.43520662041847,1.56,0.781,2.1354882775969,0.00660660109084087,0.292329472066105,NA,0
"22",7,21,1,1,1,1,1.00374952533748,1.02893097952474,1.83499616037589,2.88677111717407,1.01,0.624,2.38137268828247,0.00898740785304232,0.235048395189837,NA,0
"23",8,22,1.66960754280444,1.41977366595529,2.05719035991933,0.809270989594515,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,1.3,0.257,4.20685685662284,0.0606721508841788,0.118424384401032,NA,0
"24",8,23,1,1,1,1,1.81148956380785,1.94637244427577,2.62601282212418,1.43520662041847,0,0.514,2411.84042906806,0,1,NA,0
"25",8,24,1,1,1,1,1.00374952533748,1.02893097952474,2.56568548379,1.66192204914987,1.82,0.763,1.77232747762978,0.0102876758997205,0.278632196662331,NA,0
"26",9,25,3.57796014414635,1.87571744795423,3.35005867050495,1.06915894533391,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,1,0.199,4.36784127832963,0.0875315664109613,0.0318238836030887,NA,0
"27",9,26,1,1,1,1,0.14999670884572,1.2450779796578,2.62601282212418,1.43520662041847,0.42,0.232,3.23917090015176,0.285036003844506,0.0621805213313294,NA,0
"28",9,27,1,1,1,1,1.00374952533748,1.02893097952474,2.22288272951264,2.32631348564755,1.45,0.715,1.94711653267775,0.00947685772064058,0.254997602656123,NA,0
"29",10,28,3.95448090741411,1.65806038363371,1.61537080549169,0.945094418671215,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,1.49,0.283,4.3101836362307,0.0799216976117124,0.0532612396450505,NA,0
"30",10,29,1,1,1,1,0.93903935290873,1.98585248063318,2.62601282212418,1.43520662041847,0,0.515,2411.8852497198,0,1,NA,0
"31",10,30,1,1,1,1,1.00374952533748,1.02893097952474,0.508777011558413,2.04240309016313,0.3,0.384,4.55359554963126,0.00603462627488405,0.190182460657853,NA,0
"32",11,31,1.75778397335671,3.8171506493818,0.923695303266868,2.17577587014763,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,0.82,0.168,4.40500268390833,0.0943131435604282,5.5545554628884e-05,NA,0
"33",11,32,1,1,1,1,1.03459627900738,0.943212161934935,2.62601282212418,1.43520662041847,1.8,0.788,1.81576676373474,0.00733732410135846,0.341422254287316,NA,0
"34",11,33,1,1,1,1,1.00374952533748,1.02893097952474,1.12241013196763,0.371109567023814,2.15,0.781,1.78426814021591,0.011161013680563,0.326361719381103,NA,0
"35",12,34,3.65772686793935,2.54324279318098,3.06737329822499,1.44964839211316,1.00374952533748,1.02893097952474,2.62601282212418,1.43520662041847,0.81,0.166,4.39979105660259,0.0972798265426589,0.00374412780547306,NA,0
