"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","improve"
"13",4,12,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1,1,1.56238418340217,0.730765737174079,0.36,0.161,3.88378908373137,0.0812226234796695,0.0280036442821244,0
"14",5,13,3.53029944840819,3.44919489871245,3.18320893670898,1.9660410922661,1,1,1.51190132687334,2.30386650178116,0.09,0.105,3.78843296908522,0.0335919133557714,6.18189454713427e-05,0
"15",5,14,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1.794744683709,1.32024955940433,1.51190132687334,2.30386650178116,0.03,0.155,14.422059104189,0.0192155940033583,0.0175445970417156,0
"16",5,15,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1,1,0.490369474189356,1.49044495678972,0.07,0.153,5.32725079458627,0.0174162622196509,0.00675716505028082,0
"17",6,16,2.71622308238875,2.98989577195607,2.76296190777794,1.70424059001496,1,1,1.51190132687334,2.30386650178116,0.26,0.202,3.30030661398977,0.0395594680816974,0.000173298163785055,0
"18",6,17,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,2.20464375736192,2.78457548753358,1.51190132687334,2.30386650178116,0.08,0.559,29.0421974616012,0,1,0
"19",6,18,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1,1,1.58190799902659,2.21364424023777,0.2,0.168,3.41765952379411,0.0415659280233575,0.0160119244067581,0
"20",7,19,2.10002205136698,3.22163056849968,3.38259530614596,1.83632942404482,1,1,1.51190132687334,2.30386650178116,0.25,0.19,3.29473788552454,0.0419490768925587,7.82129183598872e-05,0
"21",7,20,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1.72394003823865,2.62742286687717,1.51190132687334,2.30386650178116,0.08,0.559,29.0562797629605,0,1,0
"22",7,21,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1,1,0.262432181416079,2.93054734279867,0.03,0.177,15.7811149838839,0.00557477477157669,0.00484041104642665,0
"23",8,22,0.61349520040676,3.92109686846379,2.69784103857819,2.23502521502436,1,1,1.51190132687334,2.30386650178116,0.23,0.186,3.43051372551451,0.0313498222210753,2.76285387779652e-05,0
"24",8,23,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1.425698781549,1.3850572461728,1.51190132687334,2.30386650178116,0.08,0.15,4.68519434435604,0.0143701071236437,0.0142106419675769,0
"25",8,24,2.14026767702308,1.72950023435988,2.06554608070292,0.985815133585129,1,1,0.859007345605642,1.66655615479685,0.12,0.158,3.59872117959205,0.0277365565965633,0.0106917023580183,0
"26",9,25,1.83072955755051,1.24234791344497,1.3083160148235,0.708138310663635,1,1,1.51190132687334,2.30386650178116,0.23,0.205,3.18995946931178,0.0350969280297685,0.0641828317556844,1
"27",9,26,1.83072955755051,1.24234791344497,1.3083160148235,0.708138310663635,1.64907106549945,0.684288677433506,1.51190132687334,2.30386650178116,1.31,0.457,3.23328852793067,0.0115905109705542,0.250753545807754,0
"28",9,27,1.83072955755051,1.24234791344497,1.3083160148235,0.708138310663635,1,1,0.528424544353038,1.84350597234443,0.08,0.171,5.5828023167481,0.0151986112876737,0.0324969094766018,0
"29",10,28,2.39773131371476,3.52679378667381,0.716028779395856,2.01027245840407,1,1,1.51190132687334,2.30386650178116,0.11,0.119,3.71998721680227,0.0392962299014162,4.00461959719359e-05,0
"30",10,29,1.83072955755051,1.24234791344497,1.3083160148235,0.708138310663635,2.38849151004106,0.48130771543365,1.51190132687334,2.30386650178116,1.68,0.652,2.72060136423256,0.00399170075275144,0.439009254240384,0
"31",10,30,1.83072955755051,1.24234791344497,1.3083160148235,0.708138310663635,1,1,0.741410107864067,1.62272822707891,0.13,0.179,3.7518909119679,0.0221666787712381,0.0450049148342629,0
"32",11,31,1.71829050139058,2.2877928892849,3.7829635910457,1.30404194689239,1,1,1.51190132687334,2.30386650178116,0.21,0.179,3.36286303852459,0.0398206947749214,0.00414051707005493,0
"33",11,32,1.83072955755051,1.24234791344497,1.3083160148235,0.708138310663635,0.400945487106219,2.88145452863537,1.51190132687334,2.30386650178116,0.01,0.548,193.976427585126,0,1,0
